Location,NER Tag,Sentence ID,Sentence,Document ID,Document
Rio Grande,CITY,3,Do They still recall the frightful night They crossed the Rio Grande?,1,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_Fernando.txt"")"
Brockton,CITY,2,"Here in Brockton, Mass., my got my thumb in my ass Mamma 's combing up a big beehive( Celtics) Where the fuck is He?",16,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Dee_Wee_(My_Friend_The_Massive_Idiot).txt"")"
Mass.,STATE_OR_PROVINCE,2,"Here in Brockton, Mass., my got my thumb in my ass Mamma 's combing up a big beehive( Celtics) Where the fuck is He?",16,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Dee_Wee_(My_Friend_The_Massive_Idiot).txt"")"
New Orleans,CITY,3,"Baby, please do n't go down to New Orleans You know I love You so, baby please do n't go.",32,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_Baby,_Please_Dont_Go.txt"")"
Kansas,STATE_OR_PROVINCE,1,"( It 's not a place you can get to By a boat or a train ... It 's far, Far away ... Charlie ... I have a Feeling we 're not in Kansas anymore) Oaahh!",48,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aerosmith_The_Farm.txt"")"
Paris,CITY,1,"Intro: Another summer day Has come and gone away In Paris and Rome But I wan na go home Hhhmmm Maybe surrounded by A million people I still feel all alone I just wan na go home Oh I miss you, you know And I 've been keeping all the letters That I wrote to you Each one a line or two"" I 'm fine baby, how are you?""",72,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aiza_Seguerra_Home.txt"")"
Rome,CITY,1,"Intro: Another summer day Has come and gone away In Paris and Rome But I wan na go home Hhhmmm Maybe surrounded by A million people I still feel all alone I just wan na go home Oh I miss you, you know And I 've been keeping all the letters That I wrote to you Each one a line or two"" I 'm fine baby, how are you?""",72,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Aiza_Seguerra_Home.txt"")"
New York City,CITY,1,"By now in New York City, there 's snow on the ground And out in California, the sunshine 's falling down And, maybe down in Memphis, Graceland 's all in lights And in Atlanta, Georgia, there 's peace on earth tonight[ Chorus] Christmas in Dixie, it 's snowin' in the pines Merry Christmas from Dixie, to everyone tonight It 's windy in Chicago.",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
California,STATE_OR_PROVINCE,1,"By now in New York City, there 's snow on the ground And out in California, the sunshine 's falling down And, maybe down in Memphis, Graceland 's all in lights And in Atlanta, Georgia, there 's peace on earth tonight[ Chorus] Christmas in Dixie, it 's snowin' in the pines Merry Christmas from Dixie, to everyone tonight It 's windy in Chicago.",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
Memphis,CITY,1,"By now in New York City, there 's snow on the ground And out in California, the sunshine 's falling down And, maybe down in Memphis, Graceland 's all in lights And in Atlanta, Georgia, there 's peace on earth tonight[ Chorus] Christmas in Dixie, it 's snowin' in the pines Merry Christmas from Dixie, to everyone tonight It 's windy in Chicago.",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
