Word,Gender,Sentence ID,Sentence,Document ID,Document
He,MALE,3,"He got kinda wary As He looked around the room He said, I 'm a minister A big shot in the state?",4,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_On_And_On_And_On.txt"")"
He,MALE,3,"He got kinda wary As He looked around the room He said, I 'm a minister A big shot in the state?",4,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_On_And_On_And_On.txt"")"
He,MALE,3,"He got kinda wary As He looked around the room He said, I 'm a minister A big shot in the state?",4,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_On_And_On_And_On.txt"")"
He,MALE,5,"He said, keep on rocking baby 'Til the night is gone?",4,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_On_And_On_And_On.txt"")"
He,MALE,7,"I said, I was not exactly Waiting for the bus He said, if we 're going Somewhere can I come along?",4,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_On_And_On_And_On.txt"")"
He,MALE,6,"On and on and on Keep on rocking baby 'Til the night is gone Over in the corner I could see this other guy He was kinda flirty He was giving I the eye So I took advantage Of the fact that I 'm a star Shook I 's hair and took A casual stroll up to the bar And as sure as hell This guy was coming up to I He said, who am I and Who are you and who are we What 's we situation do we have some time for we?",4,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_On_And_On_And_On.txt"")"
He,MALE,6,"On and on and on Keep on rocking baby 'Til the night is gone Over in the corner I could see this other guy He was kinda flirty He was giving I the eye So I took advantage Of the fact that I 'm a star Shook I 's hair and took A casual stroll up to the bar And as sure as hell This guy was coming up to I He said, who am I and Who are you and who are we What 's we situation do we have some time for we?",4,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_On_And_On_And_On.txt"")"
This guy,MALE,6,"On and on and on Keep on rocking baby 'Til the night is gone Over in the corner I could see this other guy He was kinda flirty He was giving I the eye So I took advantage Of the fact that I 'm a star Shook I 's hair and took A casual stroll up to the bar And as sure as hell This guy was coming up to I He said, who am I and Who are you and who are we What 's we situation do we have some time for we?",4,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_On_And_On_And_On.txt"")"
He,MALE,6,"On and on and on Keep on rocking baby 'Til the night is gone Over in the corner I could see this other guy He was kinda flirty He was giving I the eye So I took advantage Of the fact that I 'm a star Shook I 's hair and took A casual stroll up to the bar And as sure as hell This guy was coming up to I He said, who am I and Who are you and who are we What 's we situation do we have some time for we?",4,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_On_And_On_And_On.txt"")"
She,FEMALE,6,Cos I like a toothpick I 'll beat that booty with a stick Even the jeans She 's wearin She 's pants are almost tearin!,15,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Baby_Got_Jack.txt"")"
She,FEMALE,6,Cos I like a toothpick I 'll beat that booty with a stick Even the jeans She 's wearin She 's pants are almost tearin!,15,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Baby_Got_Jack.txt"")"
She,FEMALE,5,I like small butts and I can not lie She honkies ca n't deny When a girl walks in with an iddy biddy waist and a big thing in She 's face I get sick!,15,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Baby_Got_Jack.txt"")"
She,FEMALE,5,I like small butts and I can not lie She honkies ca n't deny When a girl walks in with an iddy biddy waist and a big thing in She 's face I get sick!,15,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Baby_Got_Jack.txt"")"
She,FEMALE,4,"Look ... girl, She 's just so ....... WHITE!",15,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Baby_Got_Jack.txt"")"
That butt,MALE,7,"No baby, I want a flat booty That 's tooty- fruity The honkies tried to warn I That butt you got is ..... ooh, so corny!",15,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Baby_Got_Jack.txt"")"
She,FEMALE,9,"Well peck I, peck I Cos ya ai n't that average chickadee Hell with romancin I 'll take She 's wallet dancin Rich ... bitch I 'll dig for She 's money ditch So tired of ebony Black butts are not I 's theme If ya ask I what I 's flavour is I 'll tell ya my flavour 's vanilla ice cream So honkies( YEAH!)",15,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Baby_Got_Jack.txt"")"
She,FEMALE,9,"Well peck I, peck I Cos ya ai n't that average chickadee Hell with romancin I 'll take She 's wallet dancin Rich ... bitch I 'll dig for She 's money ditch So tired of ebony Black butts are not I 's theme If ya ask I what I 's flavour is I 'll tell ya my flavour 's vanilla ice cream So honkies( YEAH!)",15,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Baby_Got_Jack.txt"")"
