Document ID,Document,Time,Tokens to Annotate,Params,Number of Params
1,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_Fernando.txt"")",41.1440851688385,1771,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
2,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_Im_A_Marionette.txt"")",1.6849088668823242,1484,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
3,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_Lay_All_Your_Love_On_Me.txt"")",1.1292500495910645,1172,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
4,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_On_And_On_And_On.txt"")",2.6352226734161377,1218,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
5,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_One_Of_Us.txt"")",0.9088163375854492,1217,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
6,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_Suzy-Hang-Around.txt"")",0.8125269412994385,1390,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
7,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\ABBA_When_All_Is_Said_And_Done.txt"")",0.6406562328338623,1048,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
8,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Ace_Of_Base_Angel_Eyes.txt"")",0.46875691413879395,785,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
9,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Ace_Of_Base_Captain_Nemo.txt"")",0.8437564373016357,1499,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
10,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Ace_Of_Base_Cuba_Cuba.txt"")",0.8281233310699463,1249,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
11,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Ace_Of_Base_Summer_Days.txt"")",2.484367847442627,1530,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
12,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Ace_Of_Base_Waiting_For_Magic.txt"")",2.7413086891174316,2879,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
13,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Ace_Of_Base_Wonderful_Life.txt"")",1.0156290531158447,1383,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
14,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_50_Ways_To_Get_Bin_Laden.txt"")",1.5781219005584717,2103,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
15,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Baby_Got_Jack.txt"")",3.500002145767212,2394,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
16,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Dee_Wee_(My_Friend_The_Massive_Idiot).txt"")",5.010205984115601,2239,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
17,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Adam_Sandler_Food_Innuendo_Guy.txt"")",0.8593730926513672,1104,"tokenize, ssplit, ssplit, pos, pos, depparse, depparse, natlog, natlog, lemma, lemma, ner, ner, coref, coref",8
