Document ID,Document,Time,Tokens to Annotate,Params,Number of Params
1,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\ABBA_Fernando.txt"")",51.1421685218811,1498,coref,1
2,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\ABBA_Im_A_Marionette.txt"")",5.015631198883057,1457,coref,1
3,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\ABBA_Lay_All_Your_Love_On_Me.txt"")",2.995892286300659,1156,coref,1
4,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\ABBA_On_And_On_And_On.txt"")",3.000004291534424,1223,coref,1
5,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\ABBA_One_Of_Us.txt"")",3.229431629180908,1200,coref,1
6,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\ABBA_Suzy-Hang-Around.txt"")",2.753904104232788,1283,coref,1
7,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\ABBA_When_All_Is_Said_And_Done.txt"")",1.7159042358398438,967,coref,1
8,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Ace_Of_Base_Angel_Eyes.txt"")",1.6770470142364502,773,coref,1
9,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Ace_Of_Base_Captain_Nemo.txt"")",3.205854654312134,1286,coref,1
10,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Ace_Of_Base_Cuba_Cuba.txt"")",3.2968528270721436,1192,coref,1
11,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Ace_Of_Base_Summer_Days.txt"")",4.157104969024658,1518,coref,1
12,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Ace_Of_Base_Waiting_For_Magic.txt"")",2.8519835472106934,1481,coref,1
13,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Ace_Of_Base_Wonderful_Life.txt"")",1.7429521083831787,1274,coref,1
14,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\minified_corpus\minified_corpus\Adam_Sandler_50_Ways_To_Get_Bin_Laden.txt"")",4.277703046798706,1521,coref,1
